"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-01",,,"0.00","0.0","0.0","53","31","43",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-02",,,"0.00","0.0","0.0","58","31","47",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-03",,,"0.00","0.0","0.0","48","37","37",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-04",,,"0.30","0.0","0.0","39","30","30",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-05",,,"0.00","0.0","0.0","46","26","39",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-06",,,"0.00","0.0","0.0","55","31","53",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-07",,,"0.06","0.0","0.0","53","33","34",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-08",,,"0.00","0.0","0.0","39","29","35",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-09",,,"0.00","0.0","0.0","47","31","43",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-10",,,"0.00","0.0","0.0","65",,"60",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-11",,,"0.62","0.0","0.0","70","50","50",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-12",,,"0.00","0.0","0.0","50","34","37",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-13",,,"0.00","0.0","0.0","51","31","49",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-14",,,"0.00","0.0","0.0","64","42","56",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-15",,,"0.00","0.0","0.0","59","45","50",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-16",,,"0.06","0.0","0.0","64",,"56",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-17",,,"0.02","0.0","0.0","56","50","50",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-18",,,"0.00","0.0","0.0","64","46","56",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-19",,,"0.00","0.0","0.0","67","35","59",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-20",,,"0.00","0.0","0.0","59","47","49",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-21",,,"0.20","0.0","0.0","49","44","44",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-22",,,"1.15","0.0","0.0","44","41","42",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-23",,,"0.60","0.0","0.0","44","30","36",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-24",,,"0.00","0.0","0.0","62","32","56",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-25",,,"0.00","0.0","0.0","56","44","48",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-26",,,"0.34","0.0","0.0","48","38","38",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-27",,,"0.06","0.0","0.0","39","31","37",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-28",,,"0.00","0.0","0.0","38","34","34",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-29",,,"0.08","0.0","0.0","34","28","30",,,,,"    1",
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-30",,,"0.39","0.0","0.0","34","30",,,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-01-31",,,"0.00","0.0","0.0","32","22",,,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-01",,,"0.00","0.0","0.0","28","18","23",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-02",,,"0.00","0.0","0.0","35","17","33",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-03",,,"0.00","0.0","0.0","36","25","34",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-04",,,"0.00","0.0","0.0","45","31","41",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-05",,,"0.21","0.0","0.0","43","34","42",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-06",,,"0.06","0.0","0.0","45","29","36",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-07",,,"0.00","0.0","0.0","43","23","38",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-08",,,"0.02","0.0","0.0","38","32","36",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-09",,,"1.83","0.0","0.0","36","28","28",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-10",,,"0.35","2.3","2.0","28","22","26",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-11",,,"0.00","0.0","1.0","34","23","32",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-12",,,"0.00","0.0","0.0","36","25","34",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-13",,,"0.00","0.0","0.0","53","24","47",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-14",,,"0.00","0.0","0.0","58","34","49",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-15",,,"0.00","0.0","0.0","65","45","62",,,,,,
